                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77623,                  2.783,                0.94436,                0.80756,                0.81971,                0.89489,                 0.7478,                0.63244,                 1.1267,                0.90721,             0.00022193,             0.00022193,             0.00022193
                      2,                0.70873,                 1.3638,                0.93023,                0.86187,                0.87201,                0.93008,                0.78782,                0.60338,                0.77167,                0.89441,              0.0004296,              0.0004296,              0.0004296
                      3,                0.68499,                0.98132,                0.92732,                  0.888,                 0.8816,                0.94529,                0.81553,                0.56522,                0.69388,                 0.8799,              0.0006226,              0.0006226,              0.0006226
                      4,                 0.6599,                0.79786,                0.91622,                0.92946,                0.92417,                 0.9691,                0.84387,                0.54313,                0.58819,                0.87546,             0.00060097,             0.00060097,             0.00060097
                      5,                0.64086,                0.69333,                0.91312,                0.93842,                0.94065,                0.97644,                 0.8613,                0.52397,                0.48361,                0.86851,             0.00060097,             0.00060097,             0.00060097
                      6,                0.61938,                0.62903,                0.90093,                0.94133,                0.94662,                0.97688,                0.86469,                0.52061,                 0.4698,                0.86011,             0.00057896,             0.00057896,             0.00057896
                      7,                 0.6145,                0.58295,                0.90221,                 0.9433,                0.94897,                0.97794,                0.86578,                0.51237,                0.46053,                0.85821,             0.00055694,             0.00055694,             0.00055694
                      8,                0.59023,                0.54967,                0.89378,                0.95565,                0.96121,                0.98319,                0.87943,                0.49111,                0.40892,                 0.8514,             0.00053493,             0.00053493,             0.00053493
                      9,                0.58676,                0.52662,                  0.891,                0.96643,                0.95408,                0.98597,                0.88486,                0.49245,                0.40111,                0.84805,             0.00051292,             0.00051292,             0.00051292
                     10,                0.57633,                0.50781,                0.88827,                0.94511,                0.95813,                0.98374,                 0.8876,                0.47881,                0.39497,                0.84909,             0.00049091,             0.00049091,             0.00049091
                     11,                0.56469,                 0.4921,                0.88243,                0.96011,                0.97547,                0.98844,                0.89213,                0.47183,                0.36891,                0.84346,              0.0004689,              0.0004689,              0.0004689
                     12,                0.55936,                0.47019,                0.88216,                0.96565,                0.96889,                0.98927,                0.89696,                0.46294,                0.35722,                0.84279,             0.00044689,             0.00044689,             0.00044689
                     13,                0.55213,                 0.4634,                0.87992,                 0.9725,                 0.9738,                 0.9898,                 0.8986,                0.46346,                 0.3405,                0.84236,             0.00042488,             0.00042488,             0.00042488
                     14,                0.54686,                  0.452,                0.87846,                0.97692,                0.97398,                0.98982,                0.90304,                0.45182,                0.33281,                0.83614,             0.00040287,             0.00040287,             0.00040287
                     15,                0.53353,                0.42864,                0.87377,                0.96968,                0.97227,                0.98804,                0.90368,                 0.4489,                0.33103,                 0.8361,             0.00038086,             0.00038086,             0.00038086
                     16,                0.53041,                0.41547,                0.86801,                0.96986,                0.97801,                0.98893,                0.90582,                0.43792,                0.31985,                0.83295,             0.00035885,             0.00035885,             0.00035885
                     17,                0.52774,                0.40545,                 0.8706,                 0.9792,                0.98128,                0.99081,                0.90776,                0.43721,                0.30469,                 0.8297,             0.00033683,             0.00033683,             0.00033683
                     18,                0.52205,                0.39703,                0.87033,                0.97593,                0.98403,                 0.9906,                0.90881,                0.44213,                0.30176,                0.83148,             0.00031482,             0.00031482,             0.00031482
                     19,                0.51072,                0.38369,                 0.8681,                0.97654,                0.97958,                0.98991,                0.91352,                0.42478,                0.29779,                0.82779,             0.00029281,             0.00029281,             0.00029281
                     20,                 0.5106,                0.37735,                0.86497,                0.98076,                0.98518,                0.99169,                0.91541,                0.42406,                0.28513,                0.82636,              0.0002708,              0.0002708,              0.0002708
                     21,                0.46193,                0.33009,                0.84057,                0.97261,                0.98371,                0.98947,                 0.9146,                0.42855,                0.29848,                0.82694,             0.00024879,             0.00024879,             0.00024879
                     22,                0.45508,                0.32191,                0.83649,                0.98261,                0.98494,                0.99154,                0.91769,                 0.4218,                 0.2864,                0.82541,             0.00022678,             0.00022678,             0.00022678
                     23,                0.45171,                 0.3114,                0.83374,                0.98185,                0.98005,                0.99134,                0.92079,                0.41946,                0.27918,                0.82596,             0.00020477,             0.00020477,             0.00020477
                     24,                0.44132,                0.29423,                0.83196,                0.98242,                0.98599,                 0.9927,                0.92329,                0.41494,                0.26881,                0.81996,             0.00018276,             0.00018276,             0.00018276
                     25,                0.43636,                0.28645,                  0.827,                0.98246,                0.98859,                 0.9928,                0.92489,                0.40819,                0.26452,                0.82209,             0.00016075,             0.00016075,             0.00016075
                     26,                0.42609,                0.27791,                0.82271,                0.98708,                0.98404,                0.99205,                0.92357,                0.41002,                 0.2591,                0.82039,             0.00013874,             0.00013874,             0.00013874
                     27,                0.42276,                0.27275,                0.82392,                0.98741,                0.98768,                0.99323,                0.92813,                0.40189,                0.25312,                0.81728,             0.00011672,             0.00011672,             0.00011672
                     28,                0.41831,                0.26271,                0.82064,                0.98701,                0.98466,                0.99227,                0.92977,                0.39764,                0.25379,                0.81673,             9.4714e-05,             9.4714e-05,             9.4714e-05
                     29,                0.40924,                0.25495,                0.81716,                0.98942,                0.98696,                0.99344,                0.93066,                0.39687,                  0.243,                0.81644,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     30,                0.40877,                0.25003,                0.81771,                0.98888,                0.98833,                0.99311,                 0.9324,                0.39484,                0.24182,                0.81496,             5.0692e-05,             5.0692e-05,             5.0692e-05
